"TRIP_ID","TRAVEL_TIME"
"T1",1005
"T2",750
"T3",840
"T4",1170
"T5",2820
"T6",3390
"T7",1350
"T8",1065
"T9",945
"T10",1590
"T11",2085
"T12",660
"T13",645
"T14",1110
"T15",1080
"T16",2250
"T17",390
"T18",2550
"T19",2325
"T20",3870
"T21",780
"T22",285
"T23",735
"T24",1410
"T25",345
"T26",555
"T27",270
"T28",540
"T29",840
"T30",1665
"T31",1500
"T32",630
"T33",825
"T34",195
"T35",720
"T36",3855
"T37",1110
"T38",375
"T39",285
"T40",1920
"T41",735
"T42",480
"T43",4455
"T44",1350
"T45",285
"T46",570
"T47",480
"T48",780
"T49",600
"T50",975
"T51",1215
"T52",825
"T53",450
"T54",840
"T55",2190
"T56",765
"T57",1380
"T58",915
"T59",4140
"T60",1245
"T61",345
"T62",480
"T63",645
"T64",1560
"T65",990
"T66",1440
"T67",480
"T68",360
"T69",945
"T70",435
"T71",11550
"T72",3090
"T73",960
"T74",1275
"T75",1020
"T76",450
"T77",105
"T78",2595
"T79",2220
"T80",1560
"T81",510
"T82",1380
"T83",990
"T84",2640
"T85",675
"T86",675
"T87",1500
"T88",1650
"T90",630
"T91",975
"T92",1245
"T93",840
"T94",3450
"T95",300
"T96",7815
"T98",3570
"T99",255
"T100",1020
"T101",480
"T102",300
"T103",3015
"T104",735
"T107",1380
"T109",390
"T110",360
"T111",420
"T112",300
"T113",2520
"T114",510
"T115",615
"T116",735
"T117",1110
"T118",345
"T119",525
"T120",645
"T121",720
"T122",1065
"T123",2400
"T124",1035
"T125",825
"T126",780
"T127",45
"T128",645
"T129",630
"T130",480
"T131",12315
"T132",570
"T133",720
"T134",1095
"T135",390
"T136",195
"T137",975
"T138",2895
"T139",690
"T140",1515
"T141",690
"T142",615
"T143",585
"T144",1200
"T145",1320
"T146",1365
"T147",240
"T148",1455
"T149",3675
"T151",690
"T152",2040
"T153",600
"T154",540
"T155",585
"T156",1125
"T157",1530
"T158",3435
"T159",2070
"T160",975
"T161",945
"T162",1530
"T163",990
"T164",1485
"T166",825
"T167",690
"T168",480
"T169",2895
"T170",2280
"T171",1305
"T172",1455
"T173",1410
"T174",6390
"T175",435
"T176",1920
"T177",1005
"T178",1755
"T179",1050
"T180",495
"T181",2940
"T182",1800
"T183",1170
"T184",1215
"T185",960
"T186",1185
"T187",405
"T188",1050
"T189",360
"T190",1155
"T191",420
"T192",1605
"T193",915
"T194",1440
"T195",660
"T196",1695
"T197",3420
"T198",585
"T199",855
"T200",945
"T201",930
"T202",720
"T203",1455
"T204",1275
"T205",750
"T206",5370
"T207",1245
"T208",9825
"T209",990
"T210",1215
"T211",2160
"T212",3750
"T213",1470
"T214",2250
"T215",1455
"T216",1170
"T217",2205
"T218",1380
"T219",1005
"T220",3870
"T221",510
"T222",1245
"T223",2070
"T224",3855
"T225",2145
"T226",840
"T227",1545
"T228",5355
"T229",3900
"T230",6075
"T231",825
"T232",1335
"T233",855
"T234",4110
"T235",795
"T236",1335
"T237",735
"T238",600
"T239",720
"T240",900
"T241",1185
"T242",420
"T243",660
"T244",1845
"T245",630
"T246",1065
"T247",690
"T248",480
"T249",495
"T250",375
"T251",420
"T252",465
"T253",1455
"T254",855
"T255",450
"T256",1680
"T257",795
"T258",315
"T259",540
"T260",1845
"T261",945
"T262",570
"T263",405
"T264",330
"T265",630
"T266",600
"T267",300
"T268",420
"T269",525
"T270",690
"T271",1635
"T272",1020
"T273",705
"T274",885
"T275",1005
"T276",780
"T277",1590
"T278",525
"T279",870
"T280",1170
"T281",375
"T282",600
"T283",300
"T284",345
"T285",285
"T286",390
"T287",345
"T288",90
"T289",585
"T290",585
"T291",480
"T292",615
"T293",1485
"T294",360
"T295",2295
"T296",975
"T297",900
"T298",1125
"T299",420
"T300",1080
"T301",1320
"T302",660
"T303",750
"T304",405
"T305",540
"T306",525
"T307",2235
"T308",570
"T309",60
"T310",870
"T311",510
"T312",585
"T313",465
"T314",720
"T315",480
"T316",390
"T317",390
"T318",1095
"T319",1080
"T320",660
"T321",4125
"T322",690
"T323",885
"T324",2970
"T325",3660
"T326",1200
"T327",1605
