"TRIP_ID","LATITUDE","LONGITUDE"
"T1",41.176845,-8.583975
"T2",41.167665,-8.592957
"T3",41.174082,-8.565462
"T4",41.162382,-8.508105
"T5",41.165181,-8.58906
"T6",41.178222,-8.63064
"T7",41.155686,-8.627373
"T8",41.165064,-8.612487
"T9",41.12415,-8.612172
"T10",41.237451,-8.670195
"T11",41.251518,-8.659449
"T12",41.148324,-8.611074
"T13",41.147829,-8.614341
"T14",41.237595,-8.669538
"T15",41.146713,-8.606961
"T16",41.238351,-8.66151
"T17",41.155146,-8.629074
"T18",41.163696,-8.664606
"T19",41.190732,-8.701893
"T20",41.161671,-8.665011
"T21",41.148909,-8.616087
"T22",41.133573,-8.607528
"T23",41.165424,-8.648874
"T24",41.165739,-8.670186
"T25",41.139666,-8.634897
"T26",41.162886,-8.658225
"T27",41.160312,-8.591436
"T28",41.147109,-8.61138
"T29",41.145831,-8.610858
"T30",41.203188,-8.561907
"T31",41.23755,-8.670231
"T32",41.156586,-8.621028
"T33",41.161266,-8.640747
"T34",41.161788,-8.569242
"T35",41.144031,-8.617041
"T36",41.174811,-8.688519
"T37",41.180346,-8.692416
"T38",41.154867,-8.630604
"T39",41.142753,-8.57484
"T40",41.180544,-8.654184
"T41",41.180166,-8.603712
"T42",41.186925,-8.575272
"T43",41.161914,-8.597043
"T44",41.237145,-8.670168
"T45",41.145381,-8.615556
"T46",41.137884,-8.570601
"T47",41.151771,-8.617707
"T48",41.146092,-8.613747
"T49",41.168394,-8.552898
"T50",41.148432,-8.62902
"T51",41.136327,-8.599383
"T52",41.140611,-8.60976
"T53",41.162859,-8.591598
"T54",41.180364,-8.586045
"T55",41.176179,-8.668809
"T56",41.163066,-8.591931
"T57",41.211531,-8.547363
"T58",41.148909,-8.611173
"T59",41.146011,-8.596269
"T60",41.164272,-8.623899
"T61",41.148531,-8.5986
"T62",41.140845,-8.610057
"T63",41.157405,-8.649729
"T64",41.202909,-8.571969
"T65",41.141115,-8.623305
"T66",41.237055,-8.670141
"T67",41.144139,-8.604927
"T68",41.165109,-8.630802
"T69",41.147271,-8.603865
"T70",41.15151,-8.607168
"T71",41.179482,-8.624331
"T72",41.250672,-8.650539
"T73",41.166054,-8.62497
"T74",41.168052,-8.571528
"T75",41.157558,-8.627247
"T76",41.160537,-8.621217
"T77",41.1534,-8.609985
"T78",41.150025,-8.660151
"T79",41.257521,-8.357715
"T80",41.171031,-8.655615
"T81",41.157396,-8.62551
"T82",41.18409,-8.613369
"T83",41.159169,-8.659647
"T84",41.182785,-8.646093
"T85",41.148324,-8.608059
"T86",41.149062,-8.584146
